epoch,split,accuracy,precision,recall,f1,auc
1,train,0.97,0.9692293906810036,0.97,0.9696055997303247,
2,train,0.9842857142857143,0.9828384006663891,0.9842857142857143,0.9831239767304141,
3,train,0.9914285714285714,0.9911091698758566,0.9914285714285714,0.9911967602290184,
4,train,0.9957142857142857,0.9956391099939487,0.9957142857142857,0.9956579428186177,
5,train,0.9928571428571429,0.9927046967369548,0.9928571428571429,0.9927632380310295,
6,train,0.9957142857142857,0.9956391099939487,0.9957142857142857,0.9956579428186177,
7,train,0.9985714285714286,0.9985735232509426,0.9985714285714286,0.9985526476062059,
8,train,0.9957142857142857,0.9956391099939487,0.9957142857142857,0.9956579428186177,
9,train,0.9971428571428571,0.9974149659863945,0.9971428571428571,0.9972121848739495,
10,train,0.9957142857142857,0.9958550420168067,0.9957142857142857,0.9957676562966791,
1,validation,0.98,0.9804040404040404,0.98,0.9751020408163265,1.0
2,validation,0.99,0.9901020408163265,0.99,0.9890256410256412,1.0
3,validation,0.99,0.9901020408163265,0.99,0.9890256410256412,1.0
4,validation,0.99,0.9925,0.99,0.9906883789785345,1.0
5,validation,1.0,1.0,1.0,1.0,1.0
6,validation,1.0,1.0,1.0,1.0,1.0
7,validation,0.98,0.988,0.98,0.9823958333333335,1.0
8,validation,0.96,0.9828571428571429,0.96,0.9675789473684211,1.0
9,validation,1.0,1.0,1.0,1.0,1.0
10,validation,0.99,0.9901020408163265,0.99,0.9890256410256412,1.0
final,test,0.98,0.97890625,0.98,0.9789412449098314,0.9984210526315789
